Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids
April 2019 First Open Bidding Exercise,3/4/2019,2019,Cat E (Open),400,48209,648,391
March 2019 Second Open Bidding Exercise,20/03/2019,2019,Cat A (Cars up to 1600cc and 97kW),1650,26659,2204,1647
March 2019 Second Open Bidding Exercise,20/03/2019,2019,Cat B (Cars above 1600cc or 97kW),1201,39401,1878,1195
March 2019 Second Open Bidding Exercise,20/03/2019,2019,Cat C (Goods vehicles and buses),304,27021,411,304
March 2019 Second Open Bidding Exercise,20/03/2019,2019,Cat D (Motorcycles),834,3469,1039,825
March 2019 Second Open Bidding Exercise,20/03/2019,2019,Cat E (Open),397,41000,730,396
March 2019 First Open Bidding Exercise,6/3/2019,2019,Cat A (Cars up to 1600cc and 97kW),1659,26309,2213,1653
March 2019 First Open Bidding Exercise,6/3/2019,2019,Cat B (Cars above 1600cc or 97kW),1233,36961,1903,1230
March 2019 First Open Bidding Exercise,6/3/2019,2019,Cat C (Goods vehicles and buses),306,27010,443,301
March 2019 First Open Bidding Exercise,6/3/2019,2019,Cat D (Motorcycles),825,3602,1175,822
March 2019 First Open Bidding Exercise,6/3/2019,2019,Cat E (Open),408,37620,689,405
February 2019 Second Open Bidding Exercise,20/02/2019,2019,Cat A (Cars up to 1600cc and 97kW),1650,26301,2261,1650
February 2019 Second Open Bidding Exercise,20/02/2019,2019,Cat B (Cars above 1600cc or 97kW),1214,35403,1993,1213
February 2019 Second Open Bidding Exercise,20/02/2019,2019,Cat C (Goods vehicles and buses),306,26914,433,306
February 2019 Second Open Bidding Exercise,20/02/2019,2019,Cat D (Motorcycles),826,3689,1100,817
February 2019 Second Open Bidding Exercise,20/02/2019,2019,Cat E (Open),407,36667,658,407
February 2019 First Open Bidding Exercise,8/2/2019,2019,Cat A (Cars up to 1600cc and 97kW),1662,25689,2371,1653
February 2019 First Open Bidding Exercise,8/2/2019,2019,Cat B (Cars above 1600cc or 97kW),1202,34509,1937,1169
February 2019 First Open Bidding Exercise,8/2/2019,2019,Cat C (Goods vehicles and buses),326,26378,466,324
February 2019 First Open Bidding Exercise,8/2/2019,2019,Cat D (Motorcycles),834,3709,1164,834
February 2019 First Open Bidding Exercise,8/2/2019,2019,Cat E (Open),403,35310,545,392
January 2019 Second Open Bidding Exercise,23/01/2019,2019,Cat A (Cars up to 1600cc and 97kW),1818,26170,2864,1818
January 2019 Second Open Bidding Exercise,23/01/2019,2019,Cat B (Cars above 1600cc or 97kW),1244,33989,2119,1230
January 2019 Second Open Bidding Exercise,23/01/2019,2019,Cat C (Goods vehicles and buses),344,26230,537,342
January 2019 Second Open Bidding Exercise,23/01/2019,2019,Cat D (Motorcycles),1104,2889,1473,1104
January 2019 Second Open Bidding Exercise,23/01/2019,2019,Cat E (Open),540,33689,797,530
January 2019 First Open Bidding Exercise,9/1/2019,2019,Cat A (Cars up to 1600cc and 97kW),1815,25920,2707,1804
January 2019 First Open Bidding Exercise,9/1/2019,2019,Cat B (Cars above 1600cc or 97kW),1245,32200,1818,1242
January 2019 First Open Bidding Exercise,9/1/2019,2019,Cat C (Goods vehicles and buses),330,27002,472,308
January 2019 First Open Bidding Exercise,9/1/2019,2019,Cat D (Motorcycles),1112,3610,1396,1103
January 2019 First Open Bidding Exercise,9/1/2019,2019,Cat E (Open),546,32909,776,540
December 2018 Second Open Bidding Exercise,19/12/2018,2018,Cat A (Cars up to 1600cc and 97kW),1890,25501,2729,1887
December 2018 Second Open Bidding Exercise,19/12/2018,2018,Cat B (Cars above 1600cc or 97kW),1243,31001,1804,1235
December 2018 Second Open Bidding Exercise,19/12/2018,2018,Cat C (Goods vehicles and buses),333,27001,503,318
December 2018 Second Open Bidding Exercise,19/12/2018,2018,Cat D (Motorcycles),1114,3789,1375,1114
December 2018 Second Open Bidding Exercise,19/12/2018,2018,Cat E (Open),545,31809,778,545
December 2018 First Open Bidding Exercise,5/12/2018,2018,Cat A (Cars up to 1600cc and 97kW),1878,23568,2177,1878
December 2018 First Open Bidding Exercise,5/12/2018,2018,Cat B (Cars above 1600cc or 97kW),1239,31001,1780,1230
December 2018 First Open Bidding Exercise,5/12/2018,2018,Cat C (Goods vehicles and buses),329,27009,489,328
December 2018 First Open Bidding Exercise,5/12/2018,2018,Cat D (Motorcycles),1121,3399,1483,1113
December 2018 First Open Bidding Exercise,5/12/2018,2018,Cat E (Open),552,30851,1021,546
November 2018 Second Open Bidding Exercise,21/11/2018,2018,Cat A (Cars up to 1600cc and 97kW),1818,25000,2231,1744
November 2018 Second Open Bidding Exercise,21/11/2018,2018,Cat B (Cars above 1600cc or 97kW),1241,31101,1786,1234
November 2018 Second Open Bidding Exercise,21/11/2018,2018,Cat C (Goods vehicles and buses),331,27509,580,327
November 2018 Second Open Bidding Exercise,21/11/2018,2018,Cat D (Motorcycles),1103,2989,1423,1093
November 2018 Second Open Bidding Exercise,21/11/2018,2018,Cat E (Open),552,30959,930,546
November 2018 First Open Bidding Exercise,8/11/2018,2018,Cat A (Cars up to 1600cc and 97kW),1819,28199,2849,1757
November 2018 First Open Bidding Exercise,8/11/2018,2018,Cat B (Cars above 1600cc or 97kW),1265,32302,2142,1262
November 2018 First Open Bidding Exercise,8/11/2018,2018,Cat C (Goods vehicles and buses),332,29501,460,332
November 2018 First Open Bidding Exercise,8/11/2018,2018,Cat D (Motorcycles),1121,2509,1543,1104
November 2018 First Open Bidding Exercise,8/11/2018,2018,Cat E (Open),557,32000,862,544
October 2018 Second Open Bidding Exercise,17/10/2018,2018,Cat A (Cars up to 1600cc and 97kW),1674,25556,1811,1672
October 2018 Second Open Bidding Exercise,17/10/2018,2018,Cat B (Cars above 1600cc or 97kW),1273,31302,1856,1267
October 2018 Second Open Bidding Exercise,17/10/2018,2018,Cat C (Goods vehicles and buses),350,29501,470,349
October 2018 Second Open Bidding Exercise,17/10/2018,2018,Cat D (Motorcycles),819,3951,1201,819
October 2018 Second Open Bidding Exercise,17/10/2018,2018,Cat E (Open),539,32900,779,527
October 2018 First Open Bidding Exercise,3/10/2018,2018,Cat A (Cars up to 1600cc and 97kW),1668,28457,2059,1665
October 2018 First Open Bidding Exercise,3/10/2018,2018,Cat B (Cars above 1600cc or 97kW),1271,31301,1886,1241
October 2018 First Open Bidding Exercise,3/10/2018,2018,Cat C (Goods vehicles and buses),342,28501,522,340
October 2018 First Open Bidding Exercise,3/10/2018,2018,Cat D (Motorcycles),827,4109,1140,809
October 2018 First Open Bidding Exercise,3/10/2018,2018,Cat E (Open),561,32552,1066,543
September 2018 Second Open Bidding Exercise,19/09/2018,2018,Cat A (Cars up to 1600cc and 97kW),1664,28000,2059,1655
September 2018 Second Open Bidding Exercise,19/09/2018,2018,Cat B (Cars above 1600cc or 97kW),1278,31307,1859,1269
September 2018 Second Open Bidding Exercise,19/09/2018,2018,Cat C (Goods vehicles and buses),542,27104,921,529
September 2018 Second Open Bidding Exercise,19/09/2018,2018,Cat D (Motorcycles),821,4214,1098,821
September 2018 Second Open Bidding Exercise,19/09/2018,2018,Cat E (Open),530,32000,928,519
September 2018 First Open Bidding Exercise,5/9/2018,2018,Cat A (Cars up to 1600cc and 97kW),1664,30209,2488,1661
September 2018 First Open Bidding Exercise,5/9/2018,2018,Cat B (Cars above 1600cc or 97kW),1274,32001,1959,1268
September 2018 First Open Bidding Exercise,5/9/2018,2018,Cat C (Goods vehicles and buses),386,27001,612,381
September 2018 First Open Bidding Exercise,5/9/2018,2018,Cat D (Motorcycles),874,4390,1213,867
September 2018 First Open Bidding Exercise,5/9/2018,2018,Cat E (Open),540,31801,1006,506
August 2018 Second Open Bidding Exercise,23/08/2018,2018,Cat A (Cars up to 1600cc and 97kW),1695,31997,2948,1695
August 2018 Second Open Bidding Exercise,23/08/2018,2018,Cat B (Cars above 1600cc or 97kW),1272,32429,2031,1259
August 2018 Second Open Bidding Exercise,23/08/2018,2018,Cat C (Goods vehicles and buses),409,29902,635,204
August 2018 Second Open Bidding Exercise,23/08/2018,2018,Cat D (Motorcycles),824,4889,1176,823
August 2018 Second Open Bidding Exercise,23/08/2018,2018,Cat E (Open),527,32311,927,525
August 2018 First Open Bidding Exercise,8/8/2018,2018,Cat A (Cars up to 1600cc and 97kW),1672,33798,3633,1672
August 2018 First Open Bidding Exercise,8/8/2018,2018,Cat B (Cars above 1600cc or 97kW),1265,34381,2132,1256
August 2018 First Open Bidding Exercise,8/8/2018,2018,Cat C (Goods vehicles and buses),379,30389,549,330
August 2018 First Open Bidding Exercise,8/8/2018,2018,Cat D (Motorcycles),845,5514,1208,791
August 2018 First Open Bidding Exercise,8/8/2018,2018,Cat E (Open),536,33420,896,524
July 2018 Second Open Bidding Exercise,18/07/2018,2018,Cat A (Cars up to 1600cc and 97kW),1443,32699,3100,1412
July 2018 Second Open Bidding Exercise,18/07/2018,2018,Cat B (Cars above 1600cc or 97kW),1285,32551,1919,1278
July 2018 Second Open Bidding Exercise,18/07/2018,2018,Cat C (Goods vehicles and buses),320,30889,538,249
July 2018 Second Open Bidding Exercise,18/07/2018,2018,Cat D (Motorcycles),537,6189,772,533
July 2018 Second Open Bidding Exercise,18/07/2018,2018,Cat E (Open),558,32809,1082,558
July 2018 First Open Bidding Exercise,4/7/2018,2018,Cat A (Cars up to 1600cc and 97kW),1435,25000,1626,1427
July 2018 First Open Bidding Exercise,4/7/2018,2018,Cat B (Cars above 1600cc or 97kW),1288,31000,1637,1288
July 2018 First Open Bidding Exercise,4/7/2018,2018,Cat C (Goods vehicles and buses),313,31092,535,272
July 2018 First Open Bidding Exercise,4/7/2018,2018,Cat D (Motorcycles),612,6514,807,587
July 2018 First Open Bidding Exercise,4/7/2018,2018,Cat E (Open),591,31001,975,582
June 2018 Second Open Bidding Exercise,20/06/2018,2018,Cat A (Cars up to 1600cc and 97kW),1446,34110,1818,1437
June 2018 Second Open Bidding Exercise,20/06/2018,2018,Cat B (Cars above 1600cc or 97kW),1316,33900,1729,1311
June 2018 Second Open Bidding Exercise,20/06/2018,2018,Cat C (Goods vehicles and buses),308,32001,548,293
June 2018 Second Open Bidding Exercise,20/06/2018,2018,Cat D (Motorcycles),527,6889,771,517
June 2018 Second Open Bidding Exercise,20/06/2018,2018,Cat E (Open),581,34400,868,580
June 2018 First Open Bidding Exercise,6/6/2018,2018,Cat A (Cars up to 1600cc and 97kW),1441,36426,1696,1440
June 2018 First Open Bidding Exercise,6/6/2018,2018,Cat B (Cars above 1600cc or 97kW),1293,36000,1727,1285
June 2018 First Open Bidding Exercise,6/6/2018,2018,Cat C (Goods vehicles and buses),425,29902,685,417
June 2018 First Open Bidding Exercise,6/6/2018,2018,Cat D (Motorcycles),572,7001,828,487
June 2018 First Open Bidding Exercise,6/6/2018,2018,Cat E (Open),559,37000,927,525
May 2018 Second Open Bidding Exercise,23/05/2018,2018,Cat A (Cars up to 1600cc and 97kW),1434,38001,1805,1422
May 2018 Second Open Bidding Exercise,23/05/2018,2018,Cat B (Cars above 1600cc or 97kW),1283,37989,1915,1247
May 2018 Second Open Bidding Exercise,23/05/2018,2018,Cat C (Goods vehicles and buses),385,29901,786,382
May 2018 Second Open Bidding Exercise,23/05/2018,2018,Cat D (Motorcycles),529,7115,898,529
May 2018 Second Open Bidding Exercise,23/05/2018,2018,Cat E (Open),558,38700,836,533
May 2018 First Open Bidding Exercise,9/5/2018,2018,Cat A (Cars up to 1600cc and 97kW),1435,38941,1836,1428
May 2018 First Open Bidding Exercise,9/5/2018,2018,Cat B (Cars above 1600cc or 97kW),1280,38501,2155,1267
May 2018 First Open Bidding Exercise,9/5/2018,2018,Cat C (Goods vehicles and buses),308,33190,611,188
May 2018 First Open Bidding Exercise,9/5/2018,2018,Cat D (Motorcycles),560,7204,1171,515
May 2018 First Open Bidding Exercise,9/5/2018,2018,Cat E (Open),565,38600,1008,562
April 2018 Second Open Bidding Exercise,18/04/2018,2018,Cat A (Cars up to 1600cc and 97kW),1566,38510,2027,1566
April 2018 Second Open Bidding Exercise,18/04/2018,2018,Cat B (Cars above 1600cc or 97kW),1417,37330,1919,1414
April 2018 Second Open Bidding Exercise,18/04/2018,2018,Cat C (Goods vehicles and buses),260,34202,461,181
April 2018 Second Open Bidding Exercise,18/04/2018,2018,Cat D (Motorcycles),518,7115,727,515
April 2018 Second Open Bidding Exercise,18/04/2018,2018,Cat E (Open),573,38389,1027,571
April 2018 First Open Bidding Exercise,4/4/2018,2018,Cat A (Cars up to 1600cc and 97kW),1566,37000,1888,1564
April 2018 First Open Bidding Exercise,4/4/2018,2018,Cat B (Cars above 1600cc or 97kW),1389,37605,1689,1388
April 2018 First Open Bidding Exercise,4/4/2018,2018,Cat C (Goods vehicles and buses),292,34001,500,290
April 2018 First Open Bidding Exercise,4/4/2018,2018,Cat D (Motorcycles),516,7114,953,483
April 2018 First Open Bidding Exercise,4/4/2018,2018,Cat E (Open),612,38039,967,604
March 2018 Second Open Bidding Exercise,21/03/2018,2018,Cat A (Cars up to 1600cc and 97kW),1559,38000,2117,1551
March 2018 Second Open Bidding Exercise,21/03/2018,2018,Cat B (Cars above 1600cc or 97kW),1402,37010,1639,1374
March 2018 Second Open Bidding Exercise,21/03/2018,2018,Cat C (Goods vehicles and buses),247,35001,378,234
March 2018 Second Open Bidding Exercise,21/03/2018,2018,Cat D (Motorcycles),522,7602,803,517
March 2018 Second Open Bidding Exercise,21/03/2018,2018,Cat E (Open),571,38000,977,564
March 2018 First Open Bidding Exercise,7/3/2018,2018,Cat A (Cars up to 1600cc and 97kW),1580,38830,2405,1572
March 2018 First Open Bidding Exercise,7/3/2018,2018,Cat B (Cars above 1600cc or 97kW),1390,39001,1731,1390
March 2018 First Open Bidding Exercise,7/3/2018,2018,Cat C (Goods vehicles and buses),247,36003,446,202
March 2018 First Open Bidding Exercise,7/3/2018,2018,Cat D (Motorcycles),528,8009,885,525
March 2018 First Open Bidding Exercise,7/3/2018,2018,Cat E (Open),571,39000,967,525
February 2018 Second Open Bidding Exercise,21/02/2018,2018,Cat A (Cars up to 1600cc and 97kW),1562,36810,2073,1561
February 2018 Second Open Bidding Exercise,21/02/2018,2018,Cat B (Cars above 1600cc or 97kW),1391,39000,1744,1379
February 2018 Second Open Bidding Exercise,21/02/2018,2018,Cat C (Goods vehicles and buses),257,36859,489,256
February 2018 Second Open Bidding Exercise,21/02/2018,2018,Cat D (Motorcycles),577,7667,1073,568
February 2018 Second Open Bidding Exercise,21/02/2018,2018,Cat E (Open),586,38801,1216,581
February 2018 First Open Bidding Exercise,7/2/2018,2018,Cat A (Cars up to 1600cc and 97kW),1557,40000,2389,1534
February 2018 First Open Bidding Exercise,7/2/2018,2018,Cat B (Cars above 1600cc or 97kW),1396,42322,1831,1396
February 2018 First Open Bidding Exercise,7/2/2018,2018,Cat C (Goods vehicles and buses),249,38303,486,249
February 2018 First Open Bidding Exercise,7/2/2018,2018,Cat D (Motorcycles),624,8451,933,608
February 2018 First Open Bidding Exercise,7/2/2018,2018,Cat E (Open),566,39903,790,562
January 2018 Second Open Bidding Exercise,17/01/2018,2018,Cat A (Cars up to 1600cc and 97kW),1713,36890,1938,1708
January 2018 Second Open Bidding Exercise,17/01/2018,2018,Cat B (Cars above 1600cc or 97kW),1381,42661,1654,1380
January 2018 Second Open Bidding Exercise,17/01/2018,2018,Cat C (Goods vehicles and buses),257,39000,399,247
January 2018 Second Open Bidding Exercise,17/01/2018,2018,Cat D (Motorcycles),565,8001,786,500
January 2018 Second Open Bidding Exercise,17/01/2018,2018,Cat E (Open),515,44000,817,495
January 2018 First Open Bidding Exercise,4/1/2018,2018,Cat A (Cars up to 1600cc and 97kW),1693,41400,2264,1693
January 2018 First Open Bidding Exercise,4/1/2018,2018,Cat B (Cars above 1600cc or 97kW),1374,45289,1811,1368
January 2018 First Open Bidding Exercise,4/1/2018,2018,Cat C (Goods vehicles and buses),249,40101,458,247
January 2018 First Open Bidding Exercise,4/1/2018,2018,Cat D (Motorcycles),525,7701,919,413
January 2018 First Open Bidding Exercise,4/1/2018,2018,Cat E (Open),518,47390,923,518
December 2017 Second Open Bidding Exercise,20/12/2017,2017,Cat A (Cars up to 1600cc and 97kW),1687,38200,1970,1654
December 2017 Second Open Bidding Exercise,20/12/2017,2017,Cat B (Cars above 1600cc or 97kW),1374,47002,1634,1367
December 2017 Second Open Bidding Exercise,20/12/2017,2017,Cat C (Goods vehicles and buses),246,45112,482,232
December 2017 Second Open Bidding Exercise,20/12/2017,2017,Cat D (Motorcycles),514,7501,743,458
December 2017 Second Open Bidding Exercise,20/12/2017,2017,Cat E (Open),531,48011,1003,529
December 2017 First Open Bidding Exercise,6/12/2017,2017,Cat A (Cars up to 1600cc and 97kW),1680,42339,2158,1667
December 2017 First Open Bidding Exercise,6/12/2017,2017,Cat B (Cars above 1600cc or 97kW),1375,53711,1805,1375
December 2017 First Open Bidding Exercise,6/12/2017,2017,Cat C (Goods vehicles and buses),285,42000,454,279
December 2017 First Open Bidding Exercise,6/12/2017,2017,Cat D (Motorcycles),516,6552,791,500
December 2017 First Open Bidding Exercise,6/12/2017,2017,Cat E (Open),542,54334,831,537
November 2017 Second Open Bidding Exercise,22/11/2017,2017,Cat A (Cars up to 1600cc and 97kW),1686,46791,2721,1679
November 2017 Second Open Bidding Exercise,22/11/2017,2017,Cat B (Cars above 1600cc or 97kW),1383,57390,2173,1383
November 2017 Second Open Bidding Exercise,22/11/2017,2017,Cat C (Goods vehicles and buses),244,57701,356,241
November 2017 Second Open Bidding Exercise,22/11/2017,2017,Cat D (Motorcycles),538,5992,708,533
November 2017 Second Open Bidding Exercise,22/11/2017,2017,Cat E (Open),516,57501,844,498
November 2017 First Open Bidding Exercise,8/11/2017,2017,Cat A (Cars up to 1600cc and 97kW),1683,47112,3430,1683
November 2017 First Open Bidding Exercise,8/11/2017,2017,Cat B (Cars above 1600cc or 97kW),1376,57414,2515,1375
November 2017 First Open Bidding Exercise,8/11/2017,2017,Cat C (Goods vehicles and buses),242,58036,375,200
November 2017 First Open Bidding Exercise,8/11/2017,2017,Cat D (Motorcycles),509,5502,683,502
November 2017 First Open Bidding Exercise,8/11/2017,2017,Cat E (Open),524,57000,867,495
October 2017 Second Open Bidding Exercise,19/10/2017,2017,Cat A (Cars up to 1600cc and 97kW),1815,41617,2391,1809
October 2017 Second Open Bidding Exercise,19/10/2017,2017,Cat B (Cars above 1600cc or 97kW),1285,49996,1718,1277
October 2017 Second Open Bidding Exercise,19/10/2017,2017,Cat C (Goods vehicles and buses),445,51890,611,443
October 2017 Second Open Bidding Exercise,19/10/2017,2017,Cat D (Motorcycles),478,4903,687,449
October 2017 Second Open Bidding Exercise,19/10/2017,2017,Cat E (Open),542,52000,809,539
October 2017 First Open Bidding Exercise,4/10/2017,2017,Cat A (Cars up to 1600cc and 97kW),1829,41761,2808,1827
October 2017 First Open Bidding Exercise,4/10/2017,2017,Cat B (Cars above 1600cc or 97kW),1285,48109,1646,1284
October 2017 First Open Bidding Exercise,4/10/2017,2017,Cat C (Goods vehicles and buses),492,48902,723,492
October 2017 First Open Bidding Exercise,4/10/2017,2017,Cat D (Motorcycles),485,5010,721,484
October 2017 First Open Bidding Exercise,4/10/2017,2017,Cat E (Open),540,49000,869,528
September 2017 Second Open Bidding Exercise,20/09/2017,2017,Cat A (Cars up to 1600cc and 97kW),1815,42902,3469,1815
September 2017 Second Open Bidding Exercise,20/09/2017,2017,Cat B (Cars above 1600cc or 97kW),1288,49189,1859,1288
September 2017 Second Open Bidding Exercise,20/09/2017,2017,Cat C (Goods vehicles and buses),453,46890,706,453
September 2017 Second Open Bidding Exercise,20/09/2017,2017,Cat D (Motorcycles),494,5501,727,493
September 2017 Second Open Bidding Exercise,20/09/2017,2017,Cat E (Open),565,49012,905,563
September 2017 First Open Bidding Exercise,6/9/2017,2017,Cat A (Cars up to 1600cc and 97kW),1820,36001,2195,1806
September 2017 First Open Bidding Exercise,6/9/2017,2017,Cat B (Cars above 1600cc or 97kW),1290,49000,1704,1290
September 2017 First Open Bidding Exercise,6/9/2017,2017,Cat C (Goods vehicles and buses),453,43002,695,406
September 2017 First Open Bidding Exercise,6/9/2017,2017,Cat D (Motorcycles),543,5402,871,535
September 2017 First Open Bidding Exercise,6/9/2017,2017,Cat E (Open),543,48005,805,543
August 2017 Second Open Bidding Exercise,23/08/2017,2017,Cat A (Cars up to 1600cc and 97kW),1817,42900,2148,1817
August 2017 Second Open Bidding Exercise,23/08/2017,2017,Cat B (Cars above 1600cc or 97kW),1293,51000,1683,1290
August 2017 Second Open Bidding Exercise,23/08/2017,2017,Cat C (Goods vehicles and buses),445,42004,836,436
August 2017 Second Open Bidding Exercise,23/08/2017,2017,Cat D (Motorcycles),605,3512,1069,588
August 2017 Second Open Bidding Exercise,23/08/2017,2017,Cat E (Open),586,50000,781,562
August 2017 First Open Bidding Exercise,10/8/2017,2017,Cat A (Cars up to 1600cc and 97kW),1817,46778,2403,1812
August 2017 First Open Bidding Exercise,10/8/2017,2017,Cat B (Cars above 1600cc or 97kW),1286,53711,1978,1281
August 2017 First Open Bidding Exercise,10/8/2017,2017,Cat D (Motorcycles),574,5701,879,508
August 2017 First Open Bidding Exercise,10/8/2017,2017,Cat C (Goods vehicles and buses),454,42801,742,445
August 2017 First Open Bidding Exercise,10/8/2017,2017,Cat E (Open),547,52751,822,545
July 2017 Second Open Bidding Exercise,19/07/2017,2017,Cat A (Cars up to 1600cc and 97kW),1907,44002,2389,1905
July 2017 Second Open Bidding Exercise,19/07/2017,2017,Cat B (Cars above 1600cc or 97kW),1322,50001,1784,1314
July 2017 Second Open Bidding Exercise,19/07/2017,2017,Cat D (Motorcycles),552,5851,1044,424
July 2017 Second Open Bidding Exercise,19/07/2017,2017,Cat C (Goods vehicles and buses),1085,42809,1943,1084
July 2017 Second Open Bidding Exercise,19/07/2017,2017,Cat E (Open),562,50101,941,516
July 2017 First Open Bidding Exercise,5/7/2017,2017,Cat A (Cars up to 1600cc and 97kW),1904,42801,2296,1902
July 2017 First Open Bidding Exercise,5/7/2017,2017,Cat B (Cars above 1600cc or 97kW),1322,49802,1910,1321
July 2017 First Open Bidding Exercise,5/7/2017,2017,Cat D (Motorcycles),474,6001,819,377
July 2017 First Open Bidding Exercise,5/7/2017,2017,Cat C (Goods vehicles and buses),1088,40212,2189,1078
July 2017 First Open Bidding Exercise,5/7/2017,2017,Cat E (Open),528,49899,872,521
June 2017 Second Open Bidding Exercise,21/06/2017,2017,Cat A (Cars up to 1600cc and 97kW),1906,42801,2302,1898
June 2017 Second Open Bidding Exercise,21/06/2017,2017,Cat B (Cars above 1600cc or 97kW),1321,47501,1651,1320
June 2017 Second Open Bidding Exercise,21/06/2017,2017,Cat D (Motorcycles),459,6001,931,360
June 2017 Second Open Bidding Exercise,21/06/2017,2017,Cat C (Goods vehicles and buses),1086,36879,2125,1085
June 2017 Second Open Bidding Exercise,21/06/2017,2017,Cat E (Open),553,48001,925,519
June 2017 First Open Bidding Exercise,7/6/2017,2017,Cat A (Cars up to 1600cc and 97kW),1898,45201,2245,1893
June 2017 First Open Bidding Exercise,7/6/2017,2017,Cat B (Cars above 1600cc or 97kW),1325,50110,1582,1324
June 2017 First Open Bidding Exercise,7/6/2017,2017,Cat D (Motorcycles),476,6101,743,455
June 2017 First Open Bidding Exercise,7/6/2017,2017,Cat C (Goods vehicles and buses),1091,38501,2309,1087
June 2017 First Open Bidding Exercise,7/6/2017,2017,Cat E (Open),528,50526,878,528
May 2017 Second Open Bidding Exercise,24/05/2017,2017,Cat A (Cars up to 1600cc and 97kW),1920,46489,2601,1913
May 2017 Second Open Bidding Exercise,24/05/2017,2017,Cat B (Cars above 1600cc or 97kW),1325,53001,1725,1325
May 2017 Second Open Bidding Exercise,24/05/2017,2017,Cat D (Motorcycles),476,6101,602,470
May 2017 Second Open Bidding Exercise,24/05/2017,2017,Cat C (Goods vehicles and buses),1085,30600,2492,1084
May 2017 Second Open Bidding Exercise,24/05/2017,2017,Cat E (Open),532,52000,731,506
May 2017 First Open Bidding Exercise,11/5/2017,2017,Cat A (Cars up to 1600cc and 97kW),1905,51106,2240,1905
May 2017 First Open Bidding Exercise,11/5/2017,2017,Cat B (Cars above 1600cc or 97kW),1320,55414,1996,1316
May 2017 First Open Bidding Exercise,11/5/2017,2017,Cat D (Motorcycles),455,6301,567,433
May 2017 First Open Bidding Exercise,11/5/2017,2017,Cat C (Goods vehicles and buses),1084,26029,2586,1078
May 2017 First Open Bidding Exercise,11/5/2017,2017,Cat E (Open),529,55000,755,528
April 2017 Second Open Bidding Exercise,26/04/2017,2017,Cat A (Cars up to 1600cc and 97kW),2052,51600,2442,2030
April 2017 Second Open Bidding Exercise,26/04/2017,2017,Cat B (Cars above 1600cc or 97kW),1369,54406,2000,1365
April 2017 Second Open Bidding Exercise,26/04/2017,2017,Cat D (Motorcycles),347,6712,512,325
April 2017 Second Open Bidding Exercise,26/04/2017,2017,Cat C (Goods vehicles and buses),163,26501,509,162
April 2017 Second Open Bidding Exercise,26/04/2017,2017,Cat E (Open),482,54616,712,477
